displayName,active,aliases,notes,details
120 Day Rule- Failure to Provide Verification (OVR),true,,,
30 Day Rule (Late Notice of Claim),true,,,
45 Day Rule (Late Submission of Bill),true,,,
Alleged Fraud,true,,,
Fee Schedule,true,,,
Medical Necessity (Causality),true,,,
Medical Necessity (IME),true,,,
Medical Necessity (Peer Review),true,,,
No Coverage (Motorcycle),true,,,
No Coverage (Not Eligible IP),true,,,
No Coverage (Out of State Carrier),true,,,
No Coverage (Policy Exhausted),true,,,
No Coverage (Policy Expired),true,,,
No-Coverage (Wrong Carrier),true,,,
No-Show (EUO),true,,,
No-Show (IME),true,,,
